"id","estado","cidade","cep"
"1","AC","Acrelândia","69945-000"
"2","AC","Assis Brasil","69935-000"
"3","AC","Brasiléia","69932-000"
"4","AC","Bujari","69926-000"
"5","AC","Capixaba","69931-000"
"6","AC","Cruzeiro do Sul","69980-000"
"7","AC","Epitaciolândia","69934-000"
"8","AC","Feijó","69960-000"
"9","AC","Jordão","69975-000"
"10","AC","Mâncio Lima","69990-000"
"11","AC","Manoel Urbano","69950-000"
"12","AC","Marechal Thaumaturgo","69983-000"
"13","AC","Plácido de Castro","69928-000"
"14","AC","Porto Acre","69927-000"
"15","AC","Porto Walter","69982-000"
"16","AC","Rio Branco","69900-001"
"17","AC","Rodrigues Alves","69985-000"
"18","AC","Santa Rosa do Purus","69955-000"
"19","AC","Sena Madureira","69940-000"
"20","AC","Senador Guiomard","69925-000"
"21","AC","Tarauacá","69970-000"
"22","AC","Xapuri","69930-000"
"23","AL","Água Branca","57490-000"
"24","AL","Anadia","57660-000"
"25","AL","Arapiraca","57300-001"
"26","AL","Atalaia","57690-000"
"27","AL","Barra de Santo Antônio","57925-000"
"28","AL","Barra de São Miguel","57180-000"
"29","AL","Batalha","57420-000"
"30","AL","Belém","57630-000"
"31","AL","Belo Monte","57435-000"
"32","AL","Boca da Mata","57680-000"
"33","AL","Branquinha","57830-000"
"34","AL","Cacimbinhas","57570-000"
"35","AL","Cajueiro","57770-000"
"36","AL","Campestre","57968-000"
"37","AL","Campo Alegre","57250-000"
"38","AL","Campo Grande","57350-000"
"39","AL","Canapi","57530-000"
"40","AL","Capela","57780-000"
"41","AL","Carneiros","57535-000"
"42","AL","Chã Preta","57760-000"
"43","AL","Coité do Nóia","57325-000"
"44","AL","Colônia Leopoldina","57975-000"
"45","AL","Coqueiro Seco","57140-000"
"46","AL","Coruripe","57230-000"
"47","AL","Craíbas","57320-000"
"48","AL","Delmiro Gouveia","57480-000"
"49","AL","Dois Riachos","57560-000"
"50","AL","Estrela de Alagoas","57625-000"
"51","AL","Feira Grande","57340-000"
"52","AL","Feliz Deserto","57220-000"
"53","AL","Flexeiras","57995-000"
"54","AL","Girau do Ponciano","57360-000"
"55","AL","Ibateguara","57890-000"
"56","AL","Igaci","57620-000"
"57","AL","Igreja Nova","57280-000"
"58","AL","Inhapi","57545-000"
"59","AL","Jacaré dos Homens","57430-000"
"60","AL","Jacuípe","57960-000"
"61","AL","Japaratinga","57950-000"
"62","AL","Jaramataia","57425-000"
"63","AL","Jequiá da Praia","57255-000"
"64","AL","Joaquim Gomes","57980-000"
"65","AL","Jundiá","57965-000"
"66","AL","Junqueiro","57270-000"
"67","AL","Lagoa da Canoa","57330-000"
"68","AL","Limoeiro de Anadia","57260-000"
"69","AL","Maceió","57000-001"
"70","AL","Major Isidoro","57580-000"
"71","AL","Mar Vermelho","57730-000"
"72","AL","Maragogi","57955-000"
"73","AL","Maravilha","57520-000"
"74","AL","Marechal Deodoro","57160-000"
"75","AL","Maribondo","57670-000"
"76","AL","Mata Grande","57540-000"
"77","AL","Matriz de Camaragibe","57910-000"
"78","AL","Messias","57990-000"
"79","AL","Minador do Negrão","57615-000"
"80","AL","Monteirópolis","57440-000"
"81","AL","Murici","57820-000"
"82","AL","Novo Lino","57970-000"
"83","AL","Olho D'Água das Flores","57442-000"
"84","AL","Olho D'Água do Casado","57470-000"
"85","AL","Olho D'Água Grande","57390-000"
"86","AL","Olivença","57550-000"
"87","AL","Ouro Branco","57525-000"
"88","AL","Palestina","57410-000"
"89","AL","Palmeira dos Índios","57600-001"
"90","AL","Pão de Açúcar","57400-000"
"91","AL","Pariconha","57475-000"
"92","AL","Paripueira","57935-000"
"93","AL","Passo de Camaragibe","57930-000"
"94","AL","Paulo Jacinto","57740-000"
"95","AL","Penedo","57200-000"
"96","AL","Piaçabuçu","57210-000"
"97","AL","Pilar","57150-000"
"98","AL","Pindoba","57720-000"
"99","AL","Piranhas","57460-000"
"100","AL","Poço das Trincheiras","57510-000"
"101","AL","Porto Calvo","57900-000"
"102","AL","Porto de Pedras","57945-000"
"103","AL","Porto Real do Colégio","57290-000"
"104","AL","Quebrangulo","57750-000"
"105","AL","Rio Largo","57100-000"
"106","AL","Roteiro","57257-000"
"107","AL","Santa Luzia do Norte","57130-000"
"108","AL","Santana do Ipanema","57500-000"
"109","AL","Santana do Mundaú","57840-000"
"110","AL","São Brás","57380-000"
"111","AL","São José da Laje","57860-000"
"112","AL","São José da Tapera","57445-000"
"113","AL","São Luís do Quitunde","57920-000"
"114","AL","São Miguel dos Campos","57240-001"
"115","AL","São Miguel dos Milagres","57940-000"
"116","AL","São Sebastião","57275-000"
"117","AL","Satuba","57120-000"
"118","AL","Senador Rui Palmeira","57515-000"
"119","AL","Tanque D'Arca","57635-000"
"120","AL","Taquarana","57640-000"
"121","AL","Teotônio Vilela","57265-000"
"122","AL","Traipu","57370-000"
"123","AL","União dos Palmares","57800-000"
"124","AL","Viçosa","57700-000"
"125","AM","Alvarães","69540-000"
"126","AM","Amaturá","69620-000"
"127","AM","Anamã","69445-000"
"128","AM","Anori","69440-000"
"129","AM","Apuí","69265-000"
"130","AM","Atalaia do Norte","69650-000"
"131","AM","Autazes","69240-000"
"132","AM","Barcelos","69700-000"
"133","AM","Barreirinha","69160-000"
"134","AM","Benjamin Constant","69630-000"
"135","AM","Beruri","69430-000"
"136","AM","Boa Vista do Ramos","69195-000"
"137","AM","Boca do Acre","69850-000"
"138","AM","Borba","69200-000"
"139","AM","Caapiranga","69425-000"
"140","AM","Canutama","69820-000"
"141","AM","Carauari","69500-000"
"142","AM","Careiro","69250-000"
"143","AM","Careiro da Várzea","69255-000"
"144","AM","Coari","69460-000"
"145","AM","Codajás","69450-000"
"146","AM","Eirunepé","69880-000"
"147","AM","Envira","69870-000"
"148","AM","Fonte Boa","69670-000"
"149","AM","Guajará","69895-000"
"150","AM","Humaitá","69800-000"
"151","AM","Ipixuna","69890-000"
"152","AM","Iranduba","69415-000"
"153","AM","Itacoatiara","69100-001"
"154","AM","Itamarati","69510-000"
"155","AM","Itapiranga","69120-000"
"156","AM","Japurá","69495-000"
"157","AM","Juruá","69520-000"
"158","AM","Jutaí","69660-000"
"159","AM","Lábrea","69830-000"
"160","AM","Manacapuru","69400-001"
"161","AM","Manaquiri","69435-000"
"162","AM","Manaus","69000-001"
"163","AM","Manicoré","69280-000"
"164","AM","Maraã","69490-000"
"165","AM","Maués","69190-000"
"166","AM","Nhamundá","69140-000"
"167","AM","Nova Olinda do Norte","69230-000"
"168","AM","Novo Airão","69730-000"
"169","AM","Novo Aripuanã","69260-000"
"170","AM","Parintins","69150-001"
"171","AM","Pauini","69860-000"
"172","AM","Presidente Figueiredo","69735-000"
"173","AM","Rio Preto da Eva","69117-000"
"174","AM","Santa Isabel do Rio Negro","69740-000"
"175","AM","Santo Antônio do Içá","69680-000"
"176","AM","São Gabriel da Cachoeira","69750-000"
"177","AM","São Paulo de Olivença","69600-000"
"178","AM","São Sebastião do Uatumã","69135-000"
"179","AM","Silves","69114-000"
"180","AM","Tabatinga","69640-000"
"181","AM","Tapauá","69480-000"
"182","AM","Tefé","69550-001"
"183","AM","Tonantins","69685-000"
"184","AM","Uarini","69530-000"
"185","AM","Urucará","69130-000"
"186","AM","Urucurituba","69180-000"
"187","AP","Amapá","68950-000"
"188","AP","Calçoene","68960-000"
"189","AP","Cutias","68973-000"
"190","AP","Ferreira Gomes","68915-000"
"191","AP","Itaubal","68976-000"
"192","AP","Laranjal do Jari","68920-000"
"193","AP","Macapá","68900-001"
"194","AP","Mazagão","68940-000"
"195","AP","Oiapoque","68980-000"
"196","AP","Pedra Branca do Amaparí","68945-000"
"197","AP","Porto Grande","68997-000"
"198","AP","Pracuúba","68918-000"
"199","AP","Santana","68925-001"
"200","AP","Serra do Navio","68948-000"
"201","AP","Tartarugalzinho","68990-000"
"202","AP","Vitória do Jari","68924-000"
"203","BA","Abaíra","46690-000"
"204","BA","Abaré","48680-000"
"205","BA","Acajutiba","48360-000"
"206","BA","Adustina","48435-000"
"207","BA","Água Fria","48170-000"
"208","BA","Aiquara","45220-000"
"209","BA","Alagoinhas","48000-001"
"210","BA","Alcobaça","45910-000"
"211","BA","Almadina","45640-000"
"212","BA","Amargosa","45300-000"
"213","BA","Amélia Rodrigues","44230-000"
"214","BA","América Dourada","44910-000"
"215","BA","Anagé","45180-000"
"216","BA","Andaraí","46830-000"
"217","BA","Andorinha","48990-000"
"218","BA","Angical","47960-000"
"219","BA","Anguera","44670-000"
"220","BA","Antas","48420-000"
"221","BA","Antônio Cardoso","44180-000"
"222","BA","Antônio Gonçalves","44780-000"
"223","BA","Aporá","48350-000"
"224","BA","Apuarema","45355-000"
"225","BA","Araçás","48108-000"
"226","BA","Aracatu","46130-000"
"227","BA","Araci","48760-000"
"228","BA","Aramari","48130-000"
"229","BA","Arataca","45695-000"
"230","BA","Aratuípe","44490-000"
"231","BA","Aurelino Leal","45675-000"
"232","BA","Baianópolis","47830-000"
"233","BA","Baixa Grande","44620-000"
"234","BA","Banzaê","48405-000"
"235","BA","Barra","47100-000"
"236","BA","Barra da Estiva","46650-000"
"237","BA","Barra do Choça","45120-000"
"238","BA","Barra do Mendes","44990-000"
"239","BA","Barra do Rocha","45560-000"
"240","BA","Barreiras","47800-001"
"241","BA","Barro Alto","44895-000"
"242","BA","Barro Preto","45625-000"
"243","BA","Barrocas","48705-000"
"244","BA","Belmonte","45800-000"
"245","BA","Belo Campo","45160-000"
"246","BA","Biritinga","48780-000"
"247","BA","Boa Nova","45250-000"
"248","BA","Boa Vista do Tupim","46850-000"
"249","BA","Bom Jesus da Lapa","47600-000"
"250","BA","Bom Jesus da Serra","45263-000"
"251","BA","Boninal","46740-000"
"252","BA","Bonito","46820-000"
"253","BA","Boquira","46530-000"
"254","BA","Botuporã","46570-000"
"255","BA","Brejões","45325-000"
"256","BA","Brejolândia","47750-000"
"257","BA","Brotas de Macaúbas","47560-000"
"258","BA","Brumado","46100-000"
"259","BA","Buerarema","45615-000"
"260","BA","Buritirama","47120-000"
"261","BA","Caatiba","45130-000"
"262","BA","Cabaceiras do Paraguaçu","44345-000"
"263","BA","Cachoeira","44300-000"
"264","BA","Caculé","46300-000"
"265","BA","Caém","44730-000"
"266","BA","Caetanos","45265-000"
"267","BA","Caetité","46400-000"
"268","BA","Cafarnaum","44880-000"
"269","BA","Cairu","45420-000"
"270","BA","Caldeirão Grande","44750-000"
"271","BA","Camacan","45880-000"
"272","BA","Camaçari","42800-001"
"273","BA","Camamu","45445-000"
"274","BA","Campo Alegre de Lourdes","47220-000"
"275","BA","Campo Formoso","44790-000"
"276","BA","Canápolis","47730-000"
"277","BA","Canarana","44890-000"
"278","BA","Canavieiras","45860-000"
"279","BA","Candeal","48710-000"
"280","BA","Candeias","43800-001"
"281","BA","Candiba","46380-000"
"282","BA","Cândido Sales","45157-000"
"283","BA","Cansanção","48840-000"
"284","BA","Canudos","48520-000"
"285","BA","Capela do Alto Alegre","44645-000"
"286","BA","Capim Grosso","44695-000"
"287","BA","Caraíbas","45177-000"
"288","BA","Caravelas","45900-000"
"289","BA","Cardeal da Silva","48390-000"
"290","BA","Carinhanha","46445-000"
"291","BA","Casa Nova","47300-000"
"292","BA","Castro Alves","44500-000"
"293","BA","Catolândia","47845-000"
"294","BA","Catu","48110-000"
"295","BA","Caturama","46575-000"
"296","BA","Central","44940-000"
"297","BA","Chorrochó","48660-000"
"298","BA","Cícero Dantas","48410-000"
"299","BA","Cipó","48450-000"
"300","BA","Coaraci","45638-000"
"301","BA","Cocos","47680-000"
"302","BA","Conceição da Feira","44320-000"
"303","BA","Conceição do Almeida","44540-000"
"304","BA","Conceição do Coité","48730-000"
"305","BA","Conceição do Jacuípe","44245-000"
"306","BA","Conde","48300-000"
"307","BA","Condeúba","46200-000"
"308","BA","Contendas do Sincorá","46620-000"
"309","BA","Coração de Maria","44250-000"
"310","BA","Cordeiros","46280-000"
"311","BA","Coribe","47690-000"
"312","BA","Coronel João Sá","48590-000"
"313","BA","Correntina","47650-000"
"314","BA","Cotegipe","47900-000"
"315","BA","Cravolândia","45330-000"
"316","BA","Crisópolis","48480-000"
"317","BA","Cristópolis","47950-000"
"318","BA","Cruz das Almas","44380-000"
"319","BA","Curaçá","48930-000"
"320","BA","Dário Meira","45590-000"
"321","BA","Dias D'Ávila","42850-000"
"322","BA","Dom Basílio","46165-000"
"323","BA","Dom Macedo Costa","44560-000"
"324","BA","Elísio Medrado","45305-000"
"325","BA","Encruzilhada","45150-000"
"326","BA","Entre Rios","48180-000"
"327","BA","Érico Cardoso","46180-000"
"328","BA","Esplanada","48370-000"
"329","BA","Euclides da Cunha","48500-000"
"330","BA","Eunápolis","45820-001"
"331","BA","Fátima","48415-000"
"332","BA","Feira da Mata","46446-000"
"333","BA","Feira de Santana","44000-001"
"334","BA","Filadélfia","44775-000"
"335","BA","Firmino Alves","45720-000"
"336","BA","Floresta Azul","45740-000"
"337","BA","Formosa do Rio Preto","47990-000"
"338","BA","Gandu","45450-000"
"339","BA","Gavião","44650-000"
"340","BA","Gentio do Ouro","47450-000"
"341","BA","Glória","48620-000"
"342","BA","Gongogi","45540-000"
"343","BA","Governador Mangabeira","44350-000"
"344","BA","Guajeru","46205-000"
"345","BA","Guanambi","46430-000"
"346","BA","Guaratinga","45840-000"
"347","BA","Heliópolis","48445-000"
"348","BA","Iaçu","46860-000"
"349","BA","Ibiassucê","46390-000"
"350","BA","Ibicaraí","45745-000"
"351","BA","Ibicoara","46760-000"
"352","BA","Ibicuí","45290-000"
"353","BA","Ibipeba","44970-000"
"354","BA","Ibipitanga","46540-000"
"355","BA","Ibiquera","46840-000"
"356","BA","Ibirapitanga","45500-000"
"357","BA","Ibirapuã","45940-000"
"358","BA","Ibirataia","45580-000"
"359","BA","Ibitiara","46700-000"
"360","BA","Ibititá","44960-000"
"361","BA","Ibotirama","47520-000"
"362","BA","Ichu","48725-000"
"363","BA","Igaporã","46490-000"
"364","BA","Igrapiúna","45443-000"
"365","BA","Iguaí","45280-000"
"366","BA","Ilhéus","45650-001"
"367","BA","Inhambupe","48490-000"
"368","BA","Ipecaetá","44680-000"
"369","BA","Ipiaú","45570-000"
"370","BA","Ipirá","44600-000"
"371","BA","Ipupiara","47590-000"
"372","BA","Irajuba","45370-000"
"373","BA","Iramaia","46770-000"
"374","BA","Iraquara","46980-000"
"375","BA","Irará","44255-000"
"376","BA","Irecê","44900-000"
"377","BA","Itabela","45848-000"
"378","BA","Itaberaba","46880-000"
"379","BA","Itabuna","45600-001"
"380","BA","Itacaré","45530-000"
"381","BA","Itaeté","46790-000"
"382","BA","Itagi","45230-000"
"383","BA","Itagibá","45585-000"
"384","BA","Itagimirim","45850-000"
"385","BA","Itaguaçu da Bahia","47440-000"
"386","BA","Itaju do Colônia","45730-000"
"387","BA","Itajuípe","45630-000"
"388","BA","Itamaraju","45836-000"
"389","BA","Itamari","45455-000"
"390","BA","Itambé","45140-000"
"391","BA","Itanagra","48290-000"
"392","BA","Itanhém","45970-000"
"393","BA","Itaparica","44460-000"
"394","BA","Itapé","45750-000"
"395","BA","Itapebi","45855-000"
"396","BA","Itapetinga","45700-000"
"397","BA","Itapicuru","48475-000"
"398","BA","Itapitanga","45645-000"
"399","BA","Itaquara","45340-000"
"400","BA","Itarantim","45780-000"
"401","BA","Itatim","46875-000"
"402","BA","Itiruçu","45350-000"
"403","BA","Itiúba","48850-000"
"404","BA","Itororó","45710-000"
"405","BA","Ituaçu","46640-000"
"406","BA","Ituberá","45435-000"
"407","BA","Iuiu","46438-000"
"408","BA","Jaborandi","47655-000"
"409","BA","Jacaraci","46310-000"
"410","BA","Jacobina","44700-000"
"411","BA","Jaguaquara","45345-000"
"412","BA","Jaguarari","48960-000"
"413","BA","Jaguaripe","44480-000"
"414","BA","Jandaíra","48310-000"
"415","BA","Jequié","45200-001"
"416","BA","Jeremoabo","48540-000"
"417","BA","Jiquiriçá","45470-000"
"418","BA","Jitaúna","45225-000"
"419","BA","João Dourado","44920-000"
"420","BA","Juazeiro","48900-001"
"421","BA","Jucuruçu","45834-000"
"422","BA","Jussara","44925-000"
"423","BA","Jussari","45622-000"
"424","BA","Jussiape","46670-000"
"425","BA","Lafaiete Coutinho","45215-000"
"426","BA","Lagoa Real","46425-000"
"427","BA","Laje","45490-000"
"428","BA","Lajedão","45950-000"
"429","BA","Lajedinho","46825-000"
"430","BA","Lajedo do Tabocal","45365-000"
"431","BA","Lamarão","48720-000"
"432","BA","Lapão","44905-000"
"433","BA","Lauro de Freitas","42700-001"
"434","BA","Lençóis","46960-000"
"435","BA","Licínio de Almeida","46330-000"
"436","BA","Livramento de Nossa Senhora","46140-000"
"437","BA","Luís Eduardo Magalhães","47850-000"
"438","BA","Macajuba","46805-000"
"439","BA","Macarani","45760-000"
"440","BA","Macaúbas","46500-000"
"441","BA","Macururé","48650-000"
"442","BA","Madre de Deus","42600-000"
"443","BA","Maetinga","46255-000"
"444","BA","Maiquinique","45770-000"
"445","BA","Mairi","44630-000"
"446","BA","Malhada","46440-000"
"447","BA","Malhada de Pedras","46110-000"
"448","BA","Manoel Vitorino","45240-000"
"449","BA","Mansidão","47160-000"
"450","BA","Maracás","45360-000"
"451","BA","Maragogipe","44420-000"
"452","BA","Maraú","45520-000"
"453","BA","Marcionílio Souza","46780-000"
"454","BA","Mascote","45870-000"
"455","BA","Mata de São João","48280-000"
"456","BA","Matina","46480-000"
"457","BA","Medeiros Neto","45960-000"
"458","BA","Miguel Calmon","44720-000"
"459","BA","Milagres","45315-000"
"460","BA","Mirangaba","44745-000"
"461","BA","Mirante","45255-000"
"462","BA","Monte Santo","48800-000"
"463","BA","Morpará","47580-000"
"464","BA","Morro do Chapéu","44850-000"
"465","BA","Mortugaba","46290-000"
"466","BA","Mucugê","46750-000"
"467","BA","Mucuri","45930-000"
"468","BA","Mulungu do Morro","44885-000"
"469","BA","Mundo Novo","44800-000"
"470","BA","Muniz Ferreira","44575-000"
"471","BA","Muquém de São Francisco","47115-000"
"472","BA","Muritiba","44340-000"
"473","BA","Mutuípe","45480-000"
"474","BA","Nazaré","44400-000"
"475","BA","Nilo Peçanha","45440-000"
"476","BA","Nordestina","48870-000"
"477","BA","Nova Canaã","45270-000"
"478","BA","Nova Fátima","44642-000"
"479","BA","Nova Ibiá","45452-000"
"480","BA","Nova Itarana","45390-000"
"481","BA","Nova Redenção","46835-000"
"482","BA","Nova Soure","48460-000"
"483","BA","Nova Viçosa","45920-000"
"484","BA","Novo Horizonte","46730-000"
"485","BA","Novo Triunfo","48455-000"
"486","BA","Olindina","48470-000"
"487","BA","Oliveira dos Brejinhos","47530-000"
"488","BA","Ouriçangas","48150-000"
"489","BA","Ourolândia","44718-000"
"490","BA","Palmas de Monte Alto","46460-000"
"491","BA","Palmeiras","46930-000"
"492","BA","Paramirim","46190-000"
"493","BA","Paratinga","47500-000"
"494","BA","Paripiranga","48430-000"
"495","BA","Pau Brasil","45890-000"
"496","BA","Paulo Afonso","48600-001"
"497","BA","Pé de Serra","44655-000"
"498","BA","Pedrão","48140-000"
"499","BA","Pedro Alexandre","48580-000"
"500","BA","Piatã","46765-000"
"501","BA","Pilão Arcado","47240-000"
"502","BA","Pindaí","46360-000"
"503","BA","Pindobaçu","44770-000"
"504","BA","Pintadas","44610-000"
"505","BA","Piraí do Norte","45436-000"
"506","BA","Piripá","46270-000"
"507","BA","Piritiba","44830-000"
"508","BA","Planaltino","45375-000"
"509","BA","Planalto","45190-000"
"510","BA","Poções","45260-000"
"511","BA","Pojuca","48120-000"
"512","BA","Ponto Novo","44755-000"
"513","BA","Porto Seguro","45810-000"
"514","BA","Potiraguá","45790-000"
"515","BA","Prado","45980-000"
"516","BA","Presidente Dutra","44930-000"
"517","BA","Presidente Jânio Quadros","46250-000"
"518","BA","Presidente Tancredo Neves","45416-000"
"519","BA","Queimadas","48860-000"
"520","BA","Quijingue","48830-000"
"521","BA","Quixabeira","44713-000"
"522","BA","Rafael Jambeiro","44520-000"
"523","BA","Remanso","47200-000"
"524","BA","Retirolândia","48750-000"
"525","BA","Riachão das Neves","47970-000"
"526","BA","Riachão do Jacuípe","44640-000"
"527","BA","Riacho de Santana","46470-000"
"528","BA","Ribeira do Amparo","48440-000"
"529","BA","Ribeira do Pombal","48400-000"
"530","BA","Ribeirão do Largo","45155-000"
"531","BA","Rio de Contas","46170-000"
"532","BA","Rio do Antônio","46220-000"
"533","BA","Rio do Pires","46550-000"
"534","BA","Rio Real","48330-000"
"535","BA","Rodelas","48630-000"
"536","BA","Ruy Barbosa","46800-000"
"537","BA","Salinas da Margarida","44450-000"
"538","BA","Salvador","40000-001"
"539","BA","Santa Bárbara","44150-000"
"540","BA","Santa Brígida","48570-000"
"541","BA","Santa Cruz Cabrália","45807-000"
"542","BA","Santa Cruz da Vitória","45725-000"
"543","BA","Santa Inês","45320-000"
"544","BA","Santa Luzia","45865-000"
"545","BA","Santa Maria da Vitória","47640-000"
"546","BA","Santa Rita de Cássia","47150-000"
"547","BA","Santa Teresinha","44590-000"
"548","BA","Santaluz","48880-000"
"549","BA","Santana","47700-000"
"550","BA","Santanópolis","44260-000"
"551","BA","Santo Amaro","44200-000"
"552","BA","Santo Antônio de Jesus","44570-001"
"553","BA","Santo Estêvão","44190-000"
"554","BA","São Desidério","47820-000"
"555","BA","São Domingos","48895-000"
"556","BA","São Felipe","44550-000"
"557","BA","São Félix","44360-000"
"558","BA","São Félix do Coribe","47665-000"
"559","BA","São Francisco do Conde","43900-000"
"560","BA","São Gabriel","44915-000"
"561","BA","São Gonçalo dos Campos","44330-000"
"562","BA","São José da Vitória","45620-000"
"563","BA","São José do Jacuípe","44698-000"
"564","BA","São Miguel das Matas","44580-000"
"565","BA","São Sebastião do Passé","43850-000"
"566","BA","Sapeaçu","44530-000"
"567","BA","Sátiro Dias","48485-000"
"568","BA","Saubara","44220-000"
"569","BA","Saúde","44740-000"
"570","BA","Seabra","46900-000"
"571","BA","Sebastião Laranjeiras","46450-000"
"572","BA","Senhor do Bonfim","48970-000"
"573","BA","Sento Sé","47350-000"
"574","BA","Serra do Ramalho","47630-000"
"575","BA","Serra Dourada","47740-000"
"576","BA","Serra Preta","44660-000"
"577","BA","Serrinha","48700-000"
"578","BA","Serrolândia","44710-000"
"579","BA","Simões Filho","43700-000"
"580","BA","Sítio do Mato","47610-000"
"581","BA","Sítio do Quinto","48565-000"
"582","BA","Sobradinho","48925-000"
"583","BA","Souto Soares","46990-000"
"584","BA","Tabocas do Brejo Velho","47760-000"
"585","BA","Tanhaçu","46600-000"
"586","BA","Tanque Novo","46580-000"
"587","BA","Tanquinho","44160-000"
"588","BA","Taperoá","45430-000"
"589","BA","Tapiramutá","44840-000"
"590","BA","Teixeira de Freitas","45985-001"
"591","BA","Teodoro Sampaio","44280-000"
"592","BA","Teofilândia","48770-000"
"593","BA","Teolândia","45465-000"
"594","BA","Terra Nova","44270-000"
"595","BA","Tremedal","45170-000"
"596","BA","Tucano","48790-000"
"597","BA","Uauá","48950-000"
"598","BA","Ubaíra","45310-000"
"599","BA","Ubaitaba","45545-000"
"600","BA","Ubatã","45550-000"
"601","BA","Uibaí","44950-000"
"602","BA","Umburanas","44798-000"
"603","BA","Una","45690-000"
"604","BA","Urandi","46350-000"
"605","BA","Uruçuca","45680-000"
"606","BA","Utinga","46810-000"
"607","BA","Valença","45400-000"
"608","BA","Valente","48890-000"
"609","BA","Várzea da Roça","44635-000"
"610","BA","Várzea do Poço","44715-000"
"611","BA","Várzea Nova","44690-000"
"612","BA","Varzedo","44565-000"
"613","BA","Vera Cruz","44470-000"
"614","BA","Vereda","45955-000"
"615","BA","Vitória da Conquista","45000-001"
"616","BA","Wagner","46970-000"
"617","BA","Wanderley","47940-000"
"618","BA","Wenceslau Guimarães","45460-000"
"619","BA","Xique-Xique","47400-000"
"620","CE","Abaiara","63240-000"
"621","CE","Acarape","62785-000"
"622","CE","Acaraú","62580-000"
"623","CE","Acopiara","63560-000"
"624","CE","Aiuaba","63575-000"
"625","CE","Alcântaras","62120-000"
"626","CE","Altaneira","63195-000"
"627","CE","Alto Santo","62970-000"
"628","CE","Amontada","62540-000"
"629","CE","Antonina do Norte","63570-000"
"630","CE","Apuiarés","62630-000"
"631","CE","Aquiraz","61700-000"
"632","CE","Aracati","62800-000"
"633","CE","Aracoiaba","62750-000"
"634","CE","Ararendá","62210-000"
"635","CE","Araripe","63170-000"
"636","CE","Aratuba","62762-000"
"637","CE","Arneiroz","63670-000"
"638","CE","Assaré","63140-000"
"639","CE","Aurora","63360-000"
"640","CE","Baixio","63320-000"
"641","CE","Banabuiú","63960-000"
"642","CE","Barbalha","63180-000"
"643","CE","Barreira","62795-000"
"644","CE","Barro","63380-000"
"645","CE","Barroquinha","62410-000"
"646","CE","Baturité","62760-000"
"647","CE","Beberibe","62840-000"
"648","CE","Bela Cruz","62570-000"
"649","CE","Boa Viagem","63870-000"
"650","CE","Brejo Santo","63260-000"
"651","CE","Camocim","62400-000"
"652","CE","Campos Sales","63150-000"
"653","CE","Canindé","62700-000"
"654","CE","Capistrano","62748-000"
"655","CE","Caridade","62730-000"
"656","CE","Cariré","62184-000"
"657","CE","Caririaçu","63220-000"
"658","CE","Cariús","63530-000"
"659","CE","Carnaubal","62375-000"
"660","CE","Cascavel","62850-000"
"661","CE","Catarina","63595-000"
"662","CE","Catunda","62297-000"
"663","CE","Caucaia","61600-001"
"664","CE","Cedro","63400-000"
"665","CE","Chaval","62420-000"
"666","CE","Choró","63950-000"
"667","CE","Chorozinho","62875-000"
"668","CE","Coreaú","62160-000"
"669","CE","Crateús","63700-000"
"670","CE","Crateús","63700-001"
"671","CE","Crato","63100-001"
"672","CE","Croatá","62390-000"
"673","CE","Cruz","62595-000"
"674","CE","Deputado Irapuan Pinheiro","63645-000"
"675","CE","Ererê","63470-000"
"676","CE","Eusébio","61760-000"
"677","CE","Farias Brito","63185-000"
"678","CE","Forquilha","62115-000"
"679","CE","Fortaleza","60000-001"
"680","CE","Fortim","62815-000"
"681","CE","Frecheirinha","62340-000"
"682","CE","General Sampaio","62738-000"
"683","CE","Graça","62365-000"
"684","CE","Granja","62430-000"
"685","CE","Granjeiro","63230-000"
"686","CE","Groairas","62190-000"
"687","CE","Guaiúba","61890-000"
"688","CE","Guaraciaba do Norte","62380-000"
"689","CE","Guaramiranga","62766-000"
"690","CE","Hidrolândia","62270-000"
"691","CE","Horizonte","62880-001"
"692","CE","Ibaretama","63970-000"
"693","CE","Ibiapina","62360-000"
"694","CE","Ibicuitinga","62955-000"
"695","CE","Icapuí","62810-000"
"696","CE","Icó","63430-000"
"697","CE","Iguatu","63500-001"
"698","CE","Independência","63640-000"
"699","CE","Ipaporanga","62215-000"
"700","CE","Ipaumirim","63340-000"
"701","CE","Ipu","62250-000"
"702","CE","Ipueiras","62230-000"
"703","CE","Iracema","62980-000"
"704","CE","Irauçuba","62620-000"
"705","CE","Itaiçaba","62820-000"
"706","CE","Itaitinga","61880-000"
"707","CE","Itapajé","62600-000"
"708","CE","Itapipoca","62500-001"
"709","CE","Itapiúna","62740-000"
"710","CE","Itarema","62590-000"
"711","CE","Itatira","62720-000"
"712","CE","Jaguaretama","63480-000"
"713","CE","Jaguaribara","63490-000"
"714","CE","Jaguaribe","63475-000"
"715","CE","Jaguaruana","62823-000"
"716","CE","Jardim","63290-000"
"717","CE","Jati","63275-000"
"718","CE","Jijoca de Jericoacoara","62598-000"
"719","CE","Juazeiro do Norte","63000-001"
"720","CE","Jucás","63580-000"
"721","CE","Lavras da Mangabeira","63300-000"
"722","CE","Limoeiro do Norte","62930-000"
"723","CE","Madalena","63860-000"
"724","CE","Maracanaú","61900-001"
"725","CE","Maranguape","61940-001"
"726","CE","Marco","62560-000"
